,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Inter,34,28,5,1,81,18,63,89,2.62,72.6,27.4,45.2,1.29,W D W W L,68838,Lautaro Martínez - 23,Yann Sommer,
1,2,Milan,34,21,7,6,64,39,25,70,2.06,55.2,40.4,14.8,0.44,W W D L D,72041,Olivier Giroud - 13,Mike Maignan,
2,3,Juventus,34,18,11,5,47,26,21,65,1.91,49.5,25.5,24.0,0.71,L W D D D,37191,Dušan Vlahović - 16,Wojciech Szczęsny,
3,4,Bologna,34,17,12,5,49,27,22,63,1.85,44.2,33.4,10.8,0.31,D D W D D,24187,Joshua Zirkzee - 11,Łukasz Skorupski,
4,5,Roma,34,17,8,9,61,41,20,59,1.74,46.3,34.8,11.5,0.34,D W L W D,62602,Paulo Dybala - 13,Rui Patrício,
5,6,Atalanta,33,17,6,10,61,37,24,57,1.73,47.3,35.9,11.4,0.35,W L D W W,13786,Teun Koopmeiners - 11,Marco Carnesecchi,
6,7,Lazio,34,17,4,13,43,35,8,55,1.62,43.3,38.4,4.9,0.14,L W W W D,38947,Ciro Immobile - 7,Ivan Provedel,
7,8,Fiorentina,33,14,8,11,50,37,13,50,1.52,44.6,40.8,3.7,0.11,L L D W W,30142,Nicolás González - 9,Pietro Terracciano,
8,9,Napoli,34,13,11,10,52,43,9,50,1.47,56.5,35.1,21.3,0.63,L W D L D,43401,Victor Osimhen - 14,Alex Meret,
9,10,Torino,34,11,13,10,31,31,0,46,1.35,35.2,31.6,3.6,0.1,L D D L D,21321,Duván Zapata - 11,Vanja Milinković-Savić,
10,11,Monza,34,11,11,12,36,44,-8,44,1.29,37.3,51.0,-13.6,-0.39,L D L D D,11584,Andrea Colpani - 8,Michele Di Gregorio,
11,12,Genoa,34,10,12,12,38,40,-2,42,1.24,31.8,36.5,-4.7,-0.14,D W D L W,29347,Albert Guðmundsson - 14,Josep Martinez,
12,13,Lecce,34,8,12,14,31,49,-18,36,1.06,39.2,47.9,-8.8,-0.26,D L W W D,24978,Nikola Krstović - 6,Wladimiro Falcone,
13,14,Cagliari,34,7,11,16,36,59,-23,32,0.94,37.1,47.1,-10.0,-0.29,D W D D L,16139,Nicolas Viola - 5,Simone Scuffet,
14,15,Hellas Verona,34,7,10,17,31,45,-14,31,0.91,31.0,44.4,-13.4,-0.39,D L D W L,21356,Cyril Ngonge - 6,Lorenzo Montipò,
15,16,Frosinone,34,7,10,17,43,63,-20,31,0.91,40.4,53.9,-13.5,-0.4,D D D D W,14984,Matìas Soulé - 11,Stefano Turati,
16,17,Empoli,34,8,7,19,26,50,-24,31,0.91,31.3,47.4,-16.1,-0.47,L W L W L,10691,"M'Baye Niang, Szymon Żurkowski - 4",Elia Caprile,
17,18,Udinese,34,4,17,13,32,51,-19,29,0.85,35.0,46.3,-11.2,-0.33,D L L L D,21390,Lorenzo Lucca - 7,"Marco Silvestri, Maduka Okoye",
18,19,Sassuolo,34,6,8,20,40,70,-30,26,0.76,36.7,58.1,-21.4,-0.61,D D L L W,12733,Andrea Pinamonti - 10,Andrea Consigli,
19,20,Salernitana,34,2,9,23,26,73,-47,15,0.44,26.8,65.2,-38.4,-1.13,L D L L L,19293,Antonio Candreva - 6,Guillermo Ochoa,
